"1110000,169"
"6 | 5 Suited,35008,4824"
"K | 9 Suited,35373,6402"
"J | 7 Suited,34741,5248"
"9 | 5 Off Suit,99393,7433"
"K | Q Suited,34991,7471"
"6 | 4 Suited,35420,4498"
"9 | 7 Off Suit,98856,9622"
"9 | 6 Suited,34833,4726"
"K | 5 Off Suit,99179,9818"
"A | 7 Suited,34953,6503"
"9 | 4 Off Suit,98866,6502"
"9 | 8 Suited,34962,5439"
"A | K Suited,35110,8235"
"K | J Suited,34764,7061"
"8 | 7 Off Suit,99352,9911"
"7 | 6 Off Suit,99246,9352"
"7 | 6 Suited,34785,4910"
"10 | 7 Off Suit,98976,9579"
"10 | 4 Suited,35034,4575"
"10 | 6 Suited,35047,4866"
"8 | 3 Off Suit,99174,6077"
"9 | 2 Off Suit,98801,5861"
"5 | 3 Suited,35265,4443"
"9 | 8 Off Suit,99435,10571"
"10 | 9 Suited,34784,6049"
"10 | 2 Off Suit,98933,6794"
"J | 6 Off Suit,99099,8347"
"K | 3 Suited,35134,5377"
"8 | 8 Off Suit,49439,6916"
"9 | 7 Suited,34772,5096"
"J | 4 Off Suit,99039,7794"
"9 | 2 Suited,34866,3955"
"10 | 3 Off Suit,99798,7115"
"J | 2 Suited,34734,4535"
"A | 10 Off Suit,99557,14828"
"A | Q Suited,35071,7725"
"3 | 2 Off Suit,98749,5978"
"Q | 5 Off Suit,99273,8825"
"7 | 7 Off Suit,49246,6446"
"J | 6 Suited,34956,4905"
"K | 10 Suited,35081,7043"
"Q | 5 Suited,34821,5094"
"A | 3 Off Suit,99177,11211"
"A | Q Off Suit,98769,16532"
"5 | 2 Off Suit,98819,6710"
"Q | 7 Suited,34982,5291"
"K | 4 Suited,34891,5419"
"J | 5 Suited,34684,4686"
"Q | 8 Suited,35204,5693"
"A | J Off Suit,99013,15251"
"6 | 3 Off Suit,99102,7103"
"8 | 7 Suited,35137,5132"
"K | 10 Off Suit,98513,14127"
"6 | 3 Suited,35304,4153"
"Q | 6 Suited,34708,5258"
"Q | J Suited,35127,6988"
"K | 7 Off Suit,98774,10392"
"Q | Q Off Suit,49818,10805"
"K | K Off Suit,49369,12697"
"5 | 3 Off Suit,98761,7831"
"K | 2 Off Suit,99509,8953"
"7 | 2 Suited,35150,3652"
"10 | 3 Suited,35250,4391"
"4 | 3 Off Suit,98786,7211"
"A | 9 Off Suit,98828,12514"
"4 | 2 Suited,35043,3945"
"5 | 5 Off Suit,50153,6014"
"9 | 3 Suited,34934,4022"
"9 | 4 Suited,35169,4097"
"A | 3 Suited,34793,6285"
"7 | 3 Off Suit,99312,6361"
"10 | 5 Suited,34865,4737"
"4 | 3 Suited,34856,4285"
"J | 9 Suited,35013,5999"
"J | 10 Suited,35305,6649"
"K | 6 Suited,35043,5677"
"7 | 2 Off Suit,99083,5539"
"8 | 2 Suited,35279,3883"
"A | 6 Suited,34945,6271"
"10 | 7 Suited,35125,5184"
"Q | 4 Suited,35363,5101"
"8 | 4 Suited,35091,4241"
"A | 5 Off Suit,98448,11623"
"7 | 5 Off Suit,98965,8599"
"K | 3 Off Suit,99353,9032"
"8 | 3 Suited,34776,3858"
"A | 2 Off Suit,98906,10660"
"Q | 4 Off Suit,99488,8579"
"J | 2 Off Suit,99250,7246"
"9 | 9 Off Suit,49186,7396"
"4 | 4 Off Suit,49733,5850"
"Q | 8 Off Suit,99130,10241"
"K | 6 Off Suit,99022,10123"
"8 | 4 Off Suit,98774,6778"
"8 | 6 Suited,34938,4841"
"A | K Off Suit,99034,17965"
"10 | 2 Suited,34737,4184"
"Q | 7 Off Suit,99218,9370"
"K | 2 Suited,34693,5236"
"K | 5 Suited,34604,5584"
"Q | 10 Suited,35055,6802"
"6 | 2 Suited,34947,3633"
"3 | 3 Off Suit,49309,5657"
"J | 4 Suited,35085,4769"
"A | 8 Suited,34782,6352"
"J | 8 Suited,34842,5486"
"9 | 3 Off Suit,99110,6214"
"6 | 5 Off Suit,99175,8934"
"9 | 5 Suited,35048,4580"
"Q | 9 Off Suit,99073,11640"
"3 | 2 Suited,34993,3729"
"8 | 5 Suited,35099,4590"
"J | 10 Off Suit,98896,13528"
"A | 4 Off Suit,98606,11520"
"5 | 4 Off Suit,99035,8618"
"6 | 4 Off Suit,99059,8106"
"A | 4 Suited,34824,6361"
"10 | 9 Off Suit,99372,12068"
"Q | J Off Suit,98621,14152"
"8 | 5 Off Suit,99371,8036"
"2 | 2 Off Suit,49286,5471"
"J | 9 Off Suit,99357,11717"
"10 | 8 Off Suit,99223,10675"
"K | 8 Suited,35081,6041"
"10 | 10 Off Suit,49558,8119"
"8 | 2 Off Suit,98655,5785"
"J | 3 Suited,35081,4629"
"K | 8 Off Suit,99158,10978"
"J | 7 Off Suit,99102,9173"
"A | A Off Suit,49650,15071"
"8 | 6 Off Suit,99012,8889"
"5 | 2 Suited,35265,4164"
"Q | 3 Off Suit,98733,8062"
"J | 3 Off Suit,99724,7652"
"Q | 2 Suited,35169,4798"
"7 | 5 Suited,35164,4735"
"A | 2 Suited,34825,5974"
"J | 8 Off Suit,99219,10277"
"6 | 6 Off Suit,49826,6287"
"K | 4 Off Suit,98916,9439"
"9 | 6 Off Suit,99225,8401"
"J | 5 Off Suit,98767,7950"
"Q | 2 Off Suit,98756,7837"
"A | 8 Off Suit,98928,12006"
"Q | 3 Suited,34667,4979"
"5 | 4 Suited,35254,4739"
"4 | 2 Off Suit,99399,6378"
"Q | 9 Suited,34695,6096"
"10 | 4 Off Suit,98930,7248"
"10 | 5 Off Suit,99165,7646"
"6 | 2 Off Suit,99145,5998"
"7 | 3 Suited,34840,3859"
"10 | 6 Off Suit,99417,8619"
"K | J Off Suit,99210,14864"
"A | J Suited,34831,7377"
"Q | 10 Off Suit,98599,13615"
"A | 10 Suited,35056,7194"
"A | 7 Off Suit,99397,11597"
"A | 5 Suited,35048,6313"
"Q | 6 Off Suit,98888,9077"
"A | 9 Suited,34893,6582"
"7 | 4 Off Suit,98379,7429"
"7 | 4 Suited,34984,4340"
"K | 9 Off Suit,99006,11985"
"K | 7 Suited,34948,5791"
"J | J Off Suit,49600,9400"
"A | 6 Off Suit,98867,11315"
"K | Q Off Suit,99625,15979"
"10 | 8 Suited,34957,5549"
